Campaign,Div,Measurement,Month,Month,Rev_YTD,Rev,Rev_2023,Rev_2024,Flagging_Campaign,Source,RFS_Date,Created_Date,Last_Stage_Change_Date,Opportunity_ID,SF_Opportunity_Id,Campaign_Name,Opportunity_Name,CA_Number,Account_Name,Sub_Line_of_Business,Owner_Group,Opportunity_Owner:_Division,Product_Offer,Opportunity_Owner,Stage,Opportunity_Quantity,Estimated_Contract_Period_(in_Months),Total_Contract_Value_(converted),Total_OTC_(converted),Total_MRC_(converted),New_Group,Segment,div
BOSQU,BP,FAB,12,Dec,0,100000,1100000,0,Done,SFA,12/13/2022,12/9/2022,12/13/2022,0065g00000Uq8m8,0065g00000Uq8m8AAB,Bosqu 2.0,1NOMER BARU,MTX07625173,PT BOEING INDONESIA,Other manufacturing,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-100,75014901 (FIRNA FIDUSIA),Cash,1,12,1200000,0,100000,SMB,SMB,SMB BUSINESS & OPERATION
BOSQU,BP,FAB,12,Dec,0,45000,495000,0,Done,SFA,12/13/2022,12/9/2022,12/13/2022,0065g00000Uq8Iw,0065g00000Uq8IwAAJ,Bosqu 2.0,1NOMER BARU,MTX10563260,RONGGAT GALUNGGUNG,Domestic Telco Operator,REGIONAL AND SME,BUSINESS PARTNER,Pro Freedom Apps 5GB,82208385 (RONGGAT GALUNGGUNG),Cash,1,12,540000,0,45000,SMB,,SMB BUSINESS & OPERATION
BOSQU,WEST,LOST,8,Aug,0,44820000,0,0,Done,SFA,4/11/2022,8/5/2021,10/5/2022,0065g00000KaU0S,0065g00000KaU0SAAV,Bosqu 2.0,Bundling Gracia Pharmindo,,GRACIA PHARMINDO,,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,0102614817 (VICTOR RISWANTO),Closed Lost,1,1,44820000,44000000,820000,REA,,WEST REGIONAL
BOSQU,ME,FAB,3,Mar,0,100000,1200000,0,Done,SFA,10/19/2022,3/31/2022,10/19/2022,0065g00000MFkRf,0065g00000MFkRfAAL,BOSQU 2.0,AKRIVASI NOMOR DIREKTUR PEPC,MTX10511352,PERTAMINA EP CEPU,Mining and quarrying,PUBLIC SECTOR AND ENERGY,MEDIA & ENERGY,Prime Biz-100,95229430 IQBAL IHYA ANSHORI,Cash,1,36,3600000,0,100000,NEA,,RESOURCES & MANUFACTURING
BOSQU,WEST,LOST,8,Aug,0,65225000,2025000,0,Done,SFA,7/20/2022,8/5/2021,10/5/2022,0065g00000MG0QZ,0065g00000MG0QZAA1,Bosqu 2.0,Bundling Jaserindo 0722,MTX09467362,JASA SERTIFIKASI INDONESIA,Business Services,REGIONAL AND SME,WEST REGIONAL,Pro Freedom Apps 5GB,0102614817 (VICTOR RISWANTO),Closed Lost,1,12,67700000,65000000,225000,REA,,WEST REGIONAL
BOSQU,BP,FAB,3,Mar,0,45000,405000,0,Done,SFA,10/4/2022,3/31/2022,10/4/2022,0065g00000P3dsf,0065g00000P3dsfAAB,BOSQU 2.0,YUSUP,MTX10500132,YUSUP,,REGIONAL AND SME,BUSINESS PARTNER,Pro Freedom Apps 5GB,75002378 (SUWARNI),Cash,1,12,540000,0,45000,SMB,,SMB BUSINESS & OPERATION
BOSQU,EAST,FAB,9,Sept,0,45000,360000,0,Done,SFA,9/30/2022,9/29/2022,9/30/2022,0065g00000P3pAE,0065g00000P3pAEAAZ,Q4 2022-BOSQU 2.1,FREEDOM  45K BABARAFI 01  30092022,MTX09673481,BABA RAFI INTERNASIONAL,Trading Wholesaler,REGIONAL AND SME,EAST REGIONAL,Pro Freedom Apps 5GB,71942203 (KUN RIYANTO),Cash,1,12,540000,0,45000,REA,Supply chain & manufacturing,EAST REGIONAL
BOSQU,BP,LOST,10,Oct,0,63000000,0,0,No,All Pipelines SOM,10/10/2022,10/2/2022,10/10/2022,0065g00000P3vKk,0065g00000P3vKkAAJ,Q4 2022-BOSQU 2.1,PROJECT ROUTER 105 BUDLING PRIME-BIZ 200K,,SILDEN KLABAT BANGUN BERSAMA,Communications & Technologies,REGIONAL AND SME,BUSINESS PARTNER,Prime Biz-200,"0257220006 (FAHMIANTI, S.ST)",Closed Lost,1,3,189000000,0,63000000,SMB,,SMB BUSINESS & OPERATION
BOSQU,EAST,FAB,10,Oct,0,70000,630000,0,No,All Pipelines SOM,10/5/2022,10/3/2022,10/5/2022,0065g00000P3xab,0065g00000P3xabAAB,Q4 2022-BOSQU 2.1,PRIME 70 - HAMANA WORK INDONESIA,,PT HAMANA WORKS INDONESIA,Trading and retail,REGIONAL AND SME,EAST REGIONAL,Prime Biz-70,6190142921 (ERNI SULISTYO WULANDARI),Cash,1,12,840000,0,70000,REA,,EAST REGIONAL
BOSQU,DW,FAB,10,Oct,0,70001,630000,0,No,All Pipelines SOM,10/4/2022,10/3/2022,10/4/2022,0065g00000P3y9A,0065g00000P3y9AAAR,Q4 2022-BOSQU 2.1,MOBILE  PRIME 70 ALGORITMA 6281517525700,,ALGORITMA DATA INDONESIA,Communications & Technologies,WHOLESALE BUSINESS AND CARRIER,DOMESTIC WHOLESALE & INTERCONNECTION,Prime Biz-70,91208350 (NAILAL MUSTAGHFIRI),Cash,1,12,840001,1,70000,WCA,,DOMESTIC WHOLESALE
